
2022/05/30 (11:15:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/04 (20:33:15) | ===> btop++ v.1.2.6
2022/06/04 (20:33:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/08 (21:09:09) | ===> btop++ v.1.2.6
2022/06/08 (21:09:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/09 (10:41:57) | ===> btop++ v.1.2.6
2022/06/09 (10:41:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/09 (12:04:17) | ===> btop++ v.1.2.6
2022/06/09 (12:04:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/09 (12:15:12) | ===> btop++ v.1.2.6
2022/06/09 (12:15:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/09 (23:22:19) | ===> btop++ v.1.2.6
2022/06/09 (23:22:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/11 (12:50:33) | ===> btop++ v.1.2.6
2022/06/11 (12:50:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/12 (12:21:56) | ===> btop++ v.1.2.6
2022/06/12 (12:21:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/12 (17:42:58) | ===> btop++ v.1.2.6
2022/06/12 (17:42:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/14 (13:25:22) | ===> btop++ v.1.2.7
2022/06/14 (13:25:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/15 (17:37:15) | ===> btop++ v.1.2.7
2022/06/15 (17:37:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/15 (17:37:36) | ===> btop++ v.1.2.7
2022/06/15 (17:37:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/16 (11:39:12) | ===> btop++ v.1.2.7
2022/06/16 (11:39:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/16 (21:10:09) | ===> btop++ v.1.2.7
2022/06/16 (21:10:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/18 (12:17:34) | ===> btop++ v.1.2.7
2022/06/18 (12:17:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/18 (12:37:44) | ===> btop++ v.1.2.7
2022/06/18 (12:37:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/19 (13:19:48) | ===> btop++ v.1.2.7
2022/06/19 (13:19:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/19 (21:25:30) | ===> btop++ v.1.2.7
2022/06/19 (21:25:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/20 (21:51:36) | ===> btop++ v.1.2.7
2022/06/20 (21:51:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/20 (21:57:02) | ===> btop++ v.1.2.7
2022/06/20 (21:57:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/21 (19:30:35) | ===> btop++ v.1.2.7
2022/06/21 (19:30:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (12:38:32) | ===> btop++ v.1.2.7
2022/06/22 (12:38:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (12:41:44) | ===> btop++ v.1.2.7
2022/06/22 (12:41:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (12:45:55) | ===> btop++ v.1.2.7
2022/06/22 (12:45:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (14:37:00) | ===> btop++ v.1.2.7
2022/06/22 (14:37:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (14:37:27) | ===> btop++ v.1.2.7
2022/06/22 (14:37:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (22:24:39) | ===> btop++ v.1.2.7
2022/06/22 (22:24:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (22:30:49) | ===> btop++ v.1.2.7
2022/06/22 (22:30:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (23:37:00) | ===> btop++ v.1.2.7
2022/06/22 (23:37:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/23 (16:27:06) | ===> btop++ v.1.2.7
2022/06/23 (16:27:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/23 (17:53:15) | ===> btop++ v.1.2.7
2022/06/23 (17:53:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/25 (21:31:12) | ===> btop++ v.1.2.7
2022/06/25 (21:31:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (21:05:55) | ===> btop++ v.1.2.7
2022/06/26 (21:05:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (21:07:01) | ===> btop++ v.1.2.7
2022/06/26 (21:07:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/27 (10:24:35) | ===> btop++ v.1.2.7
2022/06/27 (10:24:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/27 (10:53:27) | ===> btop++ v.1.2.7
2022/06/27 (10:53:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/27 (11:08:51) | ===> btop++ v.1.2.7
2022/06/27 (11:08:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/01 (11:18:56) | ===> btop++ v.1.2.7
2022/07/01 (11:18:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/01 (11:20:19) | ===> btop++ v.1.2.7
2022/07/01 (11:20:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/02 (12:14:03) | ===> btop++ v.1.2.7
2022/07/02 (12:14:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/02 (13:44:34) | ===> btop++ v.1.2.7
2022/07/02 (13:44:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/02 (21:37:23) | ===> btop++ v.1.2.7
2022/07/02 (21:37:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/03 (17:26:41) | ===> btop++ v.1.2.7
2022/07/03 (17:26:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/03 (18:07:50) | ===> btop++ v.1.2.7
2022/07/03 (18:07:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/04 (21:16:26) | ===> btop++ v.1.2.7
2022/07/04 (21:16:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/04 (21:16:37) | ===> btop++ v.1.2.7
2022/07/04 (21:16:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/05 (00:19:42) | ===> btop++ v.1.2.7
2022/07/05 (00:19:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/05 (00:23:08) | ===> btop++ v.1.2.7
2022/07/05 (00:23:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/05 (00:24:11) | ===> btop++ v.1.2.7
2022/07/05 (00:24:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/05 (00:24:46) | ===> btop++ v.1.2.7
2022/07/05 (00:24:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/05 (16:43:03) | ===> btop++ v.1.2.7
2022/07/05 (16:43:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/06 (13:43:26) | ===> btop++ v.1.2.7
2022/07/06 (13:43:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/06 (13:45:10) | ===> btop++ v.1.2.7
2022/07/06 (13:45:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/06 (21:28:43) | ===> btop++ v.1.2.7
2022/07/06 (21:28:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/07 (12:14:46) | ===> btop++ v.1.2.7
2022/07/07 (12:14:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/07 (16:20:50) | ===> btop++ v.1.2.7
2022/07/07 (16:20:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/08 (11:25:27) | ===> btop++ v.1.2.7
2022/07/08 (11:25:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/10 (10:18:24) | ===> btop++ v.1.2.7
2022/07/10 (10:18:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/13 (10:38:38) | ===> btop++ v.1.2.7
2022/07/13 (10:38:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/16 (23:43:43) | ===> btop++ v.1.2.8
2022/07/16 (23:43:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/17 (21:15:46) | ===> btop++ v.1.2.8
2022/07/17 (21:15:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/20 (18:38:00) | ===> btop++ v.1.2.8
2022/07/20 (18:38:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/22 (16:07:10) | ===> btop++ v.1.2.8
2022/07/22 (16:07:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/27 (15:32:59) | ===> btop++ v.1.2.8
2022/07/27 (15:32:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/29 (10:26:01) | ===> btop++ v.1.2.8
2022/07/29 (10:26:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/29 (18:50:59) | ===> btop++ v.1.2.8
2022/07/29 (18:50:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/30 (09:24:07) | ===> btop++ v.1.2.8
2022/07/30 (09:24:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/31 (11:10:25) | ===> btop++ v.1.2.8
2022/07/31 (11:10:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/26 (13:39:13) | ===> btop++ v.1.2.8
2022/08/26 (13:39:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/27 (12:00:14) | ===> btop++ v.1.2.8
2022/08/27 (12:00:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/03 (08:43:10) | ===> btop++ v.1.2.9
2022/09/03 (08:43:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/03 (22:56:20) | ===> btop++ v.1.2.9
2022/09/03 (22:56:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/03 (23:08:25) | ===> btop++ v.1.2.9
2022/09/03 (23:08:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/05 (14:03:51) | ===> btop++ v.1.2.9
2022/09/05 (14:03:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/10 (17:46:42) | ===> btop++ v.1.2.10
2022/10/10 (17:46:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/10 (17:46:50) | ===> btop++ v.1.2.10
2022/10/10 (17:46:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/10 (17:54:06) | ===> btop++ v.1.2.10
2022/10/10 (17:54:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/14 (21:53:36) | ===> btop++ v.1.2.12
2022/10/14 (21:53:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/05/03 (23:27:53) | ===> btop++ v.1.2.13
2023/05/03 (23:27:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/05 (22:21:50) | ===> btop++ v.1.2.13
2023/06/05 (22:21:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/06 (11:54:21) | ===> btop++ v.1.2.13
2023/06/06 (11:54:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/06 (11:54:37) | ===> btop++ v.1.2.13
2023/06/06 (11:54:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/07 (10:45:23) | ===> btop++ v.1.2.13
2023/06/07 (10:45:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/07 (11:08:11) | ===> btop++ v.1.2.13
2023/06/07 (11:08:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/07 (13:42:47) | ===> btop++ v.1.2.13
2023/06/07 (13:42:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/06/09 (21:55:39) | ===> btop++ v.1.2.13
2023/06/09 (21:55:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/12/22 (13:54:06) | ===> btop++ v.1.2.13
2023/12/22 (13:54:06) | ERROR: Failed to get size of terminal!

2024/04/06 (15:44:43) | ===> btop++ v.1.3.2
2024/04/06 (15:44:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/06 (18:11:49) | ===> btop++ v.1.3.2
2024/04/06 (18:11:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/07 (15:51:28) | ===> btop++ v.1.3.2
2024/04/07 (15:51:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/10 (13:15:37) | ===> btop++ v.1.3.2
2024/04/10 (13:15:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/10 (21:20:41) | ===> btop++ v.1.3.2
2024/04/10 (21:20:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/13 (11:11:20) | ===> btop++ v.1.3.2
2024/04/13 (11:11:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/15 (15:21:54) | ===> btop++ v.1.3.2
2024/04/15 (15:21:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/16 (19:43:20) | ===> btop++ v.1.3.2
2024/04/16 (19:43:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/16 (19:43:26) | ===> btop++ v.1.3.2
2024/04/16 (19:43:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/16 (19:44:22) | ===> btop++ v.1.3.2
2024/04/16 (19:44:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/16 (19:55:48) | ===> btop++ v.1.3.2
2024/04/16 (19:55:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/20 (19:42:52) | ===> btop++ v.1.3.2
2024/04/20 (19:42:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/21 (19:06:08) | ===> btop++ v.1.3.2
2024/04/21 (19:06:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/22 (12:28:34) | ===> btop++ v.1.3.2
2024/04/22 (12:28:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/22 (12:28:41) | ===> btop++ v.1.3.2
2024/04/22 (12:28:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/23 (03:32:06) | ===> btop++ v.1.3.2
2024/04/23 (03:32:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/23 (03:32:17) | ===> btop++ v.1.3.2
2024/04/23 (03:32:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/28 (11:04:22) | ===> btop++ v.1.3.2
2024/04/28 (11:04:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/28 (11:18:48) | ===> btop++ v.1.3.2
2024/04/28 (11:18:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/29 (03:01:50) | ===> btop++ v.1.3.2
2024/04/29 (03:01:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/29 (03:01:56) | ===> btop++ v.1.3.2
2024/04/29 (03:01:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/30 (22:36:57) | ===> btop++ v.1.3.2
2024/04/30 (22:36:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/01 (14:25:20) | ===> btop++ v.1.3.2
2024/05/01 (14:25:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/01 (14:25:50) | ===> btop++ v.1.3.2
2024/05/01 (14:25:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/07 (04:14:35) | ===> btop++ v.1.3.2
2024/05/07 (04:14:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/14 (15:36:06) | ===> btop++ v.1.3.2
2024/05/14 (15:36:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/14 (20:32:42) | ===> btop++ v.1.3.2
2024/05/14 (20:32:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/24 (11:28:07) | ===> btop++ v.1.3.2
2024/05/24 (11:28:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/24 (11:28:29) | ===> btop++ v.1.3.2
2024/05/24 (11:28:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/24 (15:46:51) | ===> btop++ v.1.3.2
2024/05/24 (15:46:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/28 (23:59:00) | ===> btop++ v.1.3.2
2024/05/28 (23:59:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/29 (00:07:32) | ===> btop++ v.1.3.2
2024/05/29 (00:07:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/07 (00:54:25) | ===> btop++ v.1.3.2
2024/06/07 (00:54:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/11 (22:32:59) | ===> btop++ v.1.3.2
2024/06/11 (22:32:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (12:38:03) | ===> btop++ v.1.3.2
2024/06/12 (12:38:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (14:55:16) | ===> btop++ v.1.3.2
2024/06/12 (14:55:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (14:58:11) | ===> btop++ v.1.3.2
2024/06/12 (14:58:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (15:04:46) | ===> btop++ v.1.3.2
2024/06/12 (15:04:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (15:13:46) | ===> btop++ v.1.3.2
2024/06/12 (15:13:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (15:14:48) | ===> btop++ v.1.3.2
2024/06/12 (15:14:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (15:15:49) | ===> btop++ v.1.3.2
2024/06/12 (15:15:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (15:27:12) | ===> btop++ v.1.3.2
2024/06/12 (15:27:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (15:46:41) | ===> btop++ v.1.3.2
2024/06/12 (15:46:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (20:11:31) | ===> btop++ v.1.3.2
2024/06/12 (20:11:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (22:29:07) | ===> btop++ v.1.3.2
2024/06/12 (22:29:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (22:31:27) | ===> btop++ v.1.3.2
2024/06/12 (22:31:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/12 (22:33:46) | ===> btop++ v.1.3.2
2024/06/12 (22:33:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
